Symbol,Name
AAPL,Apple Inc.
ABT,Abbott Laboratories
ACN,Accenture plc
AEP,American Electric Power Co.
ALL,Allstate Corp
AMGN,Amgen Inc.
AMZN,Amazon.com
APC,Anadarko Petroleum Corporation
AXP,American Express Inc
BA,Boeing Co
BAC,Bank of America Corp
BAX,Baxter International Inc
BHI,Baker Hughes
BK,Bank of New York
BMY,Bristol-Myers Squibb
BRK.B,Berkshire Hathaway
CAT,Caterpillar Inc
C,Citigroup Inc
CL,Colgate-Palmolive Co
CMCSA,Comcast Corporation
COF,Capital One Financial Corp
COP,ConocoPhillips
COST,Costco
CPB,Campbell Soup Company
CSCO,Cisco Systems
CVS,CVS Caremark
CVX,Chevron
DD,DuPont
DELL,Dell
DIS,The Walt Disney Company
DOW,Dow Chemical
DVN,Devon Energy
EBAY,eBay Inc.
EMC,EMC Corporation
EXC,Exelon
F,Ford Motor
FCX,Freeport-McMoran
FDX,FedEx
GD,General Dynamics
GE,General Electric Co.
GILD,Gilead Sciences
GOOG,Google Inc.
GS,Goldman Sachs
HAL,Halliburton
HD,Home Depot
HNZ,H. J. Heinz Company
HON,Honeywell
HPQ,Hewlett Packard Co
IBM,International Business Machines
INTC,Intel Corporation
JNJ,Johnson & Johnson Inc
JPM,JP Morgan Chase & Co
KFT,Kraft Foods Inc
KO,The Coca-Cola Company
LLY,Eli Lilly and Company
LMT,Lockheed-Martin
LOW,Lowe's
MA,Mastercard Inc
MCD,McDonald's Corp
MDT,Medtronic Inc.
MET,Metlife Inc.
MMM,3M Company
MO,Altria Group
MON,Monsanto
MRK,Merck & Co.
MS,Morgan Stanley
MSFT,Microsoft
NKE,Nike
NOV,National Oilwell Varco
NSC,Norfolk Southern Corp
NWSA,News Corp.
NYX,NYSE Euronext
ORCL,Oracle Corporation
OXY,Occidental Petroleum Corp
PEP,Pepsico Inc
PFE,Pfizer Inc
PG,Procter & Gamble Co
PM,Phillip Morris International
QCOM,Qualcomm Inc
RF,Regions Financial
RTN,Raytheon Co (NEW)
SBUX,Starbucks Corporation
SLB,Schlumberger
SLE,Sara Lee Corporation
SO,Southern Company
SPG,"Simon Property Group, Inc."
T,AT&T Inc
TGT,Target Corp
TWX,Time Warner Inc
TXN,Texas Instruments
UNH,UnitedHealth Group Inc
UPS,United Parcel Service Inc
USB,US Bancorp
UTX,United Technologies Corp
VZ,Verizon Communications Inc
WAG,Walgreens
WFC,Wells Fargo
WMB,Williams Companies
WMT,Wal-Mart
XOM,Exxon Mobil Corp
