Ticker symbol,Company,SEC filings,GICS?Sector,GICS Sub Industry,Address of Headquarters,Date first added
MMM,3M Company,reports,Industrials,Industrial Conglomerates,"St Paul, Minnesota",
ABT,Abbott Laboratories,reports,Health Care,Health Care Equipment & Services,"North Chicago, Illinois",
ABBV,AbbVie,reports,Health Care,Pharmaceuticals,"North Chicago, Illinois",2012/12/31
ACE,ACE Limited,reports,Financials,Property & Casualty Insurance,"Zurich, Switzerland",
ACN,Accenture plc,reports,Information Technology,IT Consulting & Services,"Dublin, Ireland",
ACT,Actavis plc,reports,Health Care,Pharmaceuticals,"Dublin, Ireland",
ADBE,Adobe Systems Inc,reports,Information Technology,Application Software,"San Jose, California",
ADT,ADT Corp,reports,Industrials,Diversified Commercial Services,"Boca Raton, Florida",2012/10/1
AES,AES Corp,reports,Utilities,Electric Utilities,"Arlington, Virginia",
AET,Aetna Inc,reports,Health Care,Managed Health Care,"Hartford, Connecticut",
AFL,AFLAC Inc,reports,Financials,Life & Health Insurance,"Columbus, Georgia",
A,Agilent Technologies Inc,reports,Health Care,Health Care Equipment & Services,"Santa Clara, California",
GAS,AGL Resources Inc.,reports,Utilities,Gas Utilities,"Atlanta, Georgia",
APD,Air Products & Chemicals Inc,reports,Materials,Industrial Gases,"Allentown, Pennsylvania",
ARG,Airgas Inc,reports,Materials,Industrial Gases,"Radnor, Pennsylvania",
AKAM,Akamai Technologies Inc,reports,Information Technology,Internet Software & Services,"Cambridge, Massachusetts",
AA,Alcoa Inc,reports,Materials,Aluminum,"New York, New York",
ALXN,Alexion Pharmaceuticals,reports,Health Care,Biotechnology,"Cheshire, Connecticut",2012/5/24
ATI,Allegheny Technologies Inc,reports,Materials,Diversified Metals & Mining,"Pittsburgh, Pennsylvania",
ALLE,Allegion,reports,Industrials,Building Products,"Dublin, Ireland",2013/12/2
AGN,Allergan Inc,reports,Health Care,Pharmaceuticals,"Irvine, California",
ADS,Alliance Data Systems,reports,Information Technology,Data Processing & Outsourced Services,"Plano, Texas",
ALL,Allstate Corp,reports,Financials,Property & Casualty Insurance,"Northfield Township, Illinois",
ALTR,Altera Corp,reports,Information Technology,Semiconductors,"San Jose, California",
MO,Altria Group Inc,reports,Consumer Staples,Tobacco,"Richmond, Virginia",
AMZN,Amazon.com Inc,reports,Consumer Discretionary,Internet Retail,"Seattle, Washington",
AEE,Ameren Corp,reports,Utilities,Multi-Utilities & Unregulated Power,"St. Louis, Missouri",
AEP,American Electric Power,reports,Utilities,Electric Utilities,"Columbus, Ohio",
AXP,American Express Co,reports,Financials,Consumer Finance,"New York, New York",
AIG,"American International Group, Inc.",reports,Financials,Property & Casualty Insurance,"New York, New York",
AMT,American Tower Corp A,reports,Financials,REITs,"Boston, Massachusetts",
AMP,Ameriprise Financial,reports,Financials,Diversified Financial Services,"Minneapolis, Minnesota",
ABC,AmerisourceBergen Corp,reports,Health Care,Health Care Distribution & Services,"Chesterbrook, Pennsylvania",
AME,Ametek,reports,Industrials,Electrical Components and Equipment,"Berwyn, Pennsylvania",2013/9/20
AMGN,Amgen Inc,reports,Health Care,Biotechnology,"Thousand Oaks, California",
APH,Amphenol Corp A,reports,Industrials,Electrical Components & Equipment,"Wallingford, Connecticut",
APC,Anadarko Petroleum Corp,reports,Energy,Oil & Gas Exploration & Production,"The Woodlands, Texas",
ADI,"Analog Devices, Inc.",reports,Information Technology,Semiconductors,"Norwood, Massachusetts",
AON,Aon plc,reports,Financials,Insurance Brokers,"London,?United Kingdom",
APA,Apache Corporation,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",
AIV,Apartment Investment & Mgmt,reports,Financials,REITs,"Denver, Colorado",
AAPL,Apple Inc.,reports,Information Technology,Computer Hardware,"Cupertino, California",
AMAT,Applied Materials Inc,reports,Information Technology,Semiconductor Equipment,"Santa Clara, California",
ADM,Archer-Daniels-Midland Co,reports,Consumer Staples,Agricultural Products,"Decatur, Illinois",
AIZ,Assurant Inc,reports,Financials,Multi-line Insurance,"New York, New York",
T,AT&T Inc,reports,Telecommunications Services,Integrated Telecommunications Services,"Dallas, Texas",
ADSK,Autodesk Inc,reports,Information Technology,Application Software,"San Rafael, California",
ADP,Automatic Data Processing,reports,Information Technology,Internet Software & Services,"Roseland, New Jersey",
AN,AutoNation Inc,reports,Consumer Discretionary,Specialty Stores,"Fort Lauderdale, Florida",
AZO,AutoZone Inc,reports,Consumer Discretionary,Specialty Stores,"Memphis, Tennessee",
AVB,"AvalonBay Communities, Inc.",reports,Financials,REITs,"Arlington, Virginia?[1]",
AVY,Avery Dennison Corp,reports,Materials,,"Pasadena, California",
AVP,Avon Products,reports,Consumer Staples,Personal Products,"New York, New York",
BHI,Baker Hughes Inc,reports,Energy,Oil & Gas Equipment & Services,"Houston, Texas",
BLL,Ball Corp,reports,Materials,Metal & Glass Containers,"Broomfield, Colorado",
BAC,Bank of America Corp,reports,Financials,Banks,"Charlotte, North Carolina",
BK,The Bank of New York Mellon Corp.,reports,Financials,Banks,"New York, New York",
BCR,Bard (C.R.) Inc.,reports,Health Care,Health Care Equipment & Services,"Murray Hill, New Jersey",
BAX,Baxter International Inc.,reports,Health Care,Health Care Equipment & Services,"Deerfield, Illinois",
BBT,BB&T Corporation,reports,Financials,Banks,"Winston-Salem, North Carolina",
BEAM,Beam Inc.,reports,Consumer Staples,Distillers & Vintners,"Deerfield, Illinois",
BDX,Becton Dickinson,reports,Health Care,Health Care Equipment & Services,"Franklin Lakes, New Jersey",
BBBY,Bed Bath & Beyond,reports,Consumer Discretionary,Specialty Stores,"Union, New Jersey",
BMS,Bemis Company,reports,Materials,Paper Packaging,"Neenah, Wisconsin",
BRK.B,Berkshire Hathaway,reports,Financials,Multi-Sector Holdings,"Omaha, Nebraska",
BBY,Best Buy Co. Inc.,reports,Consumer Discretionary,Computer & Electronics Retail,"Richfield, Minnesota",
BIIB,BIOGEN IDEC Inc.,reports,Health Care,Biotechnology,"Weston, Massachusetts",
BLK,BlackRock,reports,Financials,Diversified Financial Services,"New York, New York",
HRB,Block H&R,reports,Financials,Consumer Finance,"Kansas City, Missouri",
BA,Boeing Company,reports,Industrials,Aerospace & Defense,"Chicago, Illinois",
BWA,BorgWarner,reports,Consumer Discretionary,Auto Parts & Equipment,"Auburn Hills, Michigan",2011/12/16
BXP,Boston Properties,reports,Financials,REITs,"Boston, Massachusetts",
BSX,Boston Scientific,reports,Health Care,Health Care Equipment & Services,"Natick, Massachusetts",
BMY,Bristol-Myers Squibb,reports,Health Care,Health Care Distributors & Services,"New York, New York",
BRCM,Broadcom Corporation,reports,Information Technology,Semiconductors,"Irvine, California",
BF.B,Brown-Forman Corporation,reports,Consumer Staples,Distillers & Vintners,"Louisville, Kentucky",
CHRW,C. H. Robinson Worldwide,reports,Industrials,Air Freight & Logistics,"Eden Prairie, Minnesota",
CA,"CA, Inc.",reports,Information Technology,Systems Software,"Islandia, New York",
CVC,Cablevision Systems Corp.,reports,Consumer Discretionary,Broadcasting & Cable TV,"Bethpage, New York",
COG,Cabot Oil & Gas,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",
CAM,Cameron International Corp.,reports,Energy,Oil & Gas Equipment & Services,"Houston, Texas",
CPB,Campbell Soup,reports,Consumer Staples,Packaged Foods & Meats,"Camden, New Jersey",
COF,Capital One Financial,reports,Financials,Consumer Finance,"Tysons Corner, Virginia",
CAH,Cardinal Health Inc.,reports,Health Care,Health Care Distributors & Services,"Dublin, Ohio",
CFN,Carefusion,reports,Health Care,Health Care Equipment & Services,"San Diego, California?[2]",
KMX,Carmax Inc,reports,Consumer Discretionary,Specialty Stores,"Richmond, Virginia",
CCL,Carnival Corp.,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",
CAT,Caterpillar Inc.,reports,Industrials,Construction & Farm Machinery & Heavy Trucks,"Peoria, Illinois",
CBG,CBRE Group,reports,Financials,Real Estate Management & Development,"Los Angeles, California",
CBS,CBS Corp.,reports,Consumer Discretionary,Broadcasting & Cable TV,"New York, New York",
