Ticker symbol,Company,SEC filings,GICS?Sector
MMM,3M Company,reports,Industrials
ABT,Abbott Laboratories,reports,Health Care
ANF,Abercrombie & Fitch Co.,reports,Consumer Discretionary
ADBE,Adobe Systems,reports,Information Technology
AMD,Advanced Micro Devices,reports,Information Technology
AES,AES Corporation,reports,Utilities
AET,Aetna Inc.,reports,Health Care
ACS,Affiliated Computer Services,reports,Information Technology
AFL,AFLAC Inc.,reports,Financials
A,Agilent Technologies,reports,Information Technology
APD,Air Products & Chemicals,reports,Materials
AKAM,Akamai Technologies Inc,reports,Information Technology
AKS,AK Steel Holding Corp.,reports,Materials
AA,Alcoa Inc,reports,Materials
AYE,Allegheny Energy,reports,Utilities
ATI,Allegheny Technologies Inc,reports,Materials
AGN,Allergan Inc.,reports,Health Care
ALL,Allstate Corp.,reports,Financials
ALTR,Altera Corp.,reports,Information Technology
MO,Altria Group Inc.,reports,Consumer Staples
AMZN,Amazon Corp.,reports,Consumer Discretionary
AEE,Ameren Corporation,reports,Utilities
AEP,American Electric Power,reports,Utilities
AXP,American Express,reports,Financials
AIG,American International Group,reports,Financials
AMT,American Tower Corporation,reports,Telecommunications Services
AMP,Ameriprise Financial Inc.,reports,Financials
ABC,AmerisourceBergen Corp.,reports,Health Care
AMGN,Amgen,reports,Health Care
APC,Anadarko Petroleum Corporation,reports,Energy
ADI,Analog Devices,reports,Information Technology
AON,Aon Corporation,reports,Financials
APA,Apache Corp.,reports,Energy
AIV,AIMCO,reports,Financials
APOL,Apollo Group,reports,Consumer Discretionary
AAPL,Apple Inc.,reports,Information Technology
AMAT,Applied Materials,reports,Information Technology
ADM,Archer Daniels Midland,reports,Consumer Staples
ASH,Ashland Inc.,reports,Materials
AIZ,Assurant Inc,reports,Financials
T,AT&T Inc.,reports,Telecommunications Services
ADSK,Autodesk Inc.,reports,Information Technology
ADP,Automatic Data Processing Inc.,reports,Information Technology
AN,AutoNation Inc.,reports,Consumer Discretionary
AZO,AutoZone Inc.,reports,Consumer Discretionary
AVB,AvalonBay Communities,reports,Financials
AVY,Avery Dennison Corp.,reports,Industrials
AVP,Avon Products,reports,Consumer Staples
BHI,Baker Hughes,reports,Energy
BLL,Ball Corp.,reports,Materials
BAC,Bank of America Corp.,reports,Financials
BK,Bank of New York Mellon Corp.,reports,Financials
BCR,Bard (C.R.) Inc.,reports,Health Care
BAX,Baxter International Inc.,reports,Health Care
BBT,BB&T Corporation,reports,Financials
BDX,Becton Dickinson,reports,Health Care
BBBY,Bed Bath & Beyond,reports,Consumer Discretionary
BMS,Bemis Company,reports,Materials
BBY,Best Buy Co. Inc.,reports,Consumer Discretionary
BIG,Big Lots Inc.,reports,Consumer Discretionary
BIIB,BIOGEN IDEC Inc.,reports,Health Care
BJS,BJ Services Company,reports,Energy
BDK,Black & Decker Corp.,reports,Consumer Discretionary
HRB,Block H&R,reports,Consumer Discretionary
BMC,BMC Software,reports,Information Technology
BA,Boeing Company,reports,Industrials
BXP,Boston Properties,reports,Financials
BSX,Boston Scientific,reports,Health Care
BMY,Bristol-Myers Squibb,reports,Health Care
BRCM,Broadcom Corporation,reports,Information Technology
BF.B,Brown-Forman Corporation,reports,Consumer Staples
BNI,Burlington Northern Santa Fe Corp.,reports,Industrials
CHRW,C. H. Robinson Worldwide,reports,Industrials
CA,"CA, Inc.",reports,Information Technology
COG,Cabot Oil & Gas,reports,Energy
CAM,Cameron International Corp.,reports,Energy
CPB,Campbell Soup,reports,Consumer Staples
COF,Capital One Financial,reports,Financials
CAH,Cardinal Health Inc.,reports,Health Care
CFN,Carefusion Corporation,reports,Health Care
CCL,Carnival Corp.,reports,Consumer Discretionary
CAT,Caterpillar Inc.,reports,Industrials
CBG,CB Richard Ellis Group,reports,Financials
CBS,CBS Corp.,reports,Consumer Discretionary
CELG,Celgene Corp.,reports,Health Care
CNP,CenterPoint Energy,reports,Utilities
CTL,CenturyTel Inc,reports,Telecommunications Services
CEPH,Cephalon Inc,reports,Telecommunications Services
CF,CF Industries Holdings Inc,reports,Materials
SCHW,Charles Schwab,reports,Financials
CHK,Chesapeake Energy,reports,Energy
CVX,Chevron Corp.,reports,Energy
CB,Chubb Corp.,reports,Financials
CIEN,Ciena Corp.,reports,Information Technology
CI,CIGNA Corp.,reports,Health Care
CINF,Cincinnati Financial,reports,Financials
CTAS,Cintas Corporation,reports,Industrials
CSCO,Cisco Systems,reports,Information Technology
C,Citigroup Inc.,reports,Financials
CTXS,Citrix Systems,reports,Information Technology
CLX,Clorox Co.,reports,Consumer Staples
CME,CME Group Inc.,reports,Financials
CMS,CMS Energy,reports,Utilities
COH,Coach Inc.,reports,Consumer Discretionary
KO,Coca Cola Co.,reports,Consumer Staples
CCE,Coca-Cola Enterprises,reports,Consumer Staples
CTSH,Cognizant Technology Solutions,reports,Information Technology
CL,Colgate-Palmolive,reports,Consumer Staples
CMCSA,Comcast Corp.,reports,Consumer Discretionary
CMA,Comerica Inc.,reports,Financials
CSC,Computer Sciences Corp.,reports,Information Technology
CPWR,Compuware Corp.,reports,Information Technology
CAG,ConAgra Foods Inc.,reports,Consumer Staples
COP,ConocoPhillips,reports,Energy
CNX,CONSOL Energy Inc.,reports,Energy
ED,Consolidated Edison,reports,Utilities
STZ,Constellation Brands,reports,Consumer Staples
CEG,Constellation Energy Group,reports,Utilities
CVG,Convergys Corp.,reports,Information Technology
CBE,Cooper Industries Ltd.,reports,Industrials
GLW,Corning Inc.,reports,Information Technology
COST,Costco Co.,reports,Consumer Staples
CVH,Coventry Health Care Inc.,reports,Health Care
CSX,CSX Corp.,reports,Industrials
CMI,Cummins Inc.,reports,Industrials
CVS,CVS Caremark Corp.,reports,Consumer Staples
DHI,D. R. Horton,reports,Consumer Discretionary
DHR,Danaher Corp.,reports,Industrials
DRI,Darden Restaurants,reports,Consumer Discretionary
DVA,DaVita Inc.,reports,Health Care
DF,Dean Foods,reports,Consumer Staples
DE,Deere & Co.,reports,Industrials
DELL,Dell Inc.,reports,Information Technology
DNR,Denbury Resources Inc.,reports,Energy
XRAY,Dentsply Intl,reports,Health Care
DVN,Devon Energy Corp.,reports,Energy
DV,"DeVry, Inc.",reports,Consumer Discretionary
DO,Diamond Offshore Drilling,reports,Energy
DTV,DIRECTV Group Inc.,reports,Consumer Discretionary
DFS,Discover Financial Services,reports,Financials
D,Dominion Resources,reports,Utilities
RRD,Donnelley (R.R.) & Sons,reports,Industrials
DOV,Dover Corp.,reports,Industrials
DOW,Dow Chemical,reports,Materials
DPS,Dr Pepper Snapple Group,reports,Consumer Staples
DTE,DTE Energy Co.,reports,Utilities
DD,Du Pont (E.I.),reports,Materials
DUK,Duke Energy,reports,Utilities
