Symbol,Company,SEC filings,GICS?Sector,Location of Headquarters
MMM,3M Co.,reports,Industrials,"St Paul, Minnesota"
ACE,ACE Limited,reports,Financials,"Zurich, Switzerland"
ABT,Abbott Laboratories,reports,Health Care,"North Chicago, Illinois"
ANF,Abercrombie & Fitch Company A,reports,Consumer Discretionary,"New Albany, Ohio"
ACN,Accenture,reports,Information Technology,"Dublin, Ireland"
ADBE,Adobe Systems Inc,reports,Information Technology,"San Jose, California"
AMD,Advanced Micro Devices,reports,Information Technology,"Sunnyvale, California"
AES,AES Corp,reports,Utilities,"Arlington, Virginia"
AET,Aetna Inc,reports,Health Care,"Hartford, Connecticut"
AFL,AFLAC Inc,reports,Financials,"Columbus, Georgia"
A,Agilent Technologies Inc,reports,Information Technology,"Santa Clara, California"
GAS,AGL Resources Inc.,reports,Utilities,"Atlanta, Georgia"
APD,Air Products & Chemicals Inc,reports,Materials,"Allentown, Pennsylvania"
ARG,Airgas Inc,reports,Materials,"Radnor Township, Pennsylvania"
AKAM,Akamai Technologies Inc,reports,Information Technology,"Cambridge, Massachusetts"
AA,Alcoa Inc,reports,Materials,"Pittsburgh, Pennsylvania"
ATI,Allegheny Technologies Inc,reports,Materials,"Pittsburgh, Pennsylvania"
AGN,Allergan Inc,reports,Health Care,"Irvine, California"
ALL,Allstate Corp,reports,Financials,"Northfield Township, Illinois"
ALTR,Altera Corp,reports,Information Technology,"San Jose, California"
MO,Altria Group Inc,reports,Consumer Staples,"Henrico County, Virginia"
AMZN,Amazon.com Inc,reports,Consumer Discretionary,"Seattle, Washington"
AEE,Ameren Corp,reports,Utilities,"St. Louis, Missouri"
AEP,American Electric Power,reports,Utilities,"Columbus, Ohio"
AXP,American Express Co,reports,Financials,"New York, New York"
AIG,American Intl Group Inc,reports,Financials,"New York, New York"
AMT,American Tower Corp A,reports,Telecommunications Services,"Boston, Massachusetts"
AMP,Ameriprise Financial,reports,Financials,"Minneapolis, Minnesota"
ABC,AmerisourceBergen Corp,reports,Health Care,"Chesterbrook, Pennsylvania"
AMGN,Amgen Inc,reports,Health Care,"Thousand Oaks, California"
APH,Amphenol Corp A,reports,Industrials,"Wallingford, Connecticut"
APC,Anadarko Petroleum Corp,reports,Energy,"The Woodlands, Texas"
ADI,Analog Devices Inc,reports,Information Technology,"Norwood, Massachusetts"
AON,Aon Corporation,reports,Financials,"Chicago, Illinois"
APA,Apache Corporation,reports,Energy,"Houston, Texas"
AIV,Apartment Investment & Mgmt,reports,Financials,"Denver, Colorado"
APOL,Apollo Group Inc,reports,Consumer Discretionary,"Phoenix, Arizona"
AAPL,Apple Inc.,reports,Information Technology,"Cupertino, California"
AMAT,Applied Materials Inc,reports,Information Technology,"Santa Clara, California"
ADM,Archer-Daniels-Midland Co,reports,Consumer Staples,"Decatur, Illinois"
AIZ,Assurant Inc,reports,Financials,"New York, New York"
T,AT&T Inc,reports,Telecommunications Services,"Dallas, Texas"
ADSK,Autodesk Inc,reports,Information Technology,"San Rafael, California"
ADP,Automatic Data Processing,reports,Information Technology,"Roseland, New Jersey"
AN,AutoNation Inc,reports,Consumer Discretionary,"Fort Lauderdale, Florida"
AZO,AutoZone Inc,reports,Consumer Discretionary,"Memphis, Tennessee"
AVB,"AvalonBay Communities, Inc.",reports,Financials,"Arlington, Virginia[1]"
AVY,Avery Dennison Corp,reports,Industrials,"Pasadena, California"
AVP,Avon Products,reports,Consumer Staples,"New York, New York"
BHI,Baker Hughes Inc,reports,Energy,"Houston, Texas"
BLL,Ball Corp,reports,Materials,"Broomfield, Colorado"
BAC,Bank of America Corp,reports,Financials,"Charlotte, North Carolina"
BK,The Bank of New York Mellon Corp.,reports,Financials,"New York, New York"
BCR,Bard (C.R.) Inc.,reports,Health Care,"Murray Hill, New Jersey"
BAX,Baxter International Inc.,reports,Health Care,"Deerfield, Illinois"
BBT,BB&T Corporation,reports,Financials,"Winston-Salem, North Carolina"
BDX,Becton Dickinson,reports,Health Care,"Franklin Lakes, New Jersey"
BBBY,Bed Bath & Beyond,reports,Consumer Discretionary,"Union, New Jersey"
BMS,Bemis Company,reports,Materials,"Neenah, Wisconsin"
BRK.B,Berkshire Hathaway,reports,Financials,"Omaha, Nebraska"
BBY,Best Buy Co. Inc.,reports,Consumer Discretionary,"Richfield, Minnesota"
BIG,Big Lots Inc.,reports,Consumer Discretionary,"Columbus, Ohio"
BIIB,BIOGEN IDEC Inc.,reports,Health Care,"Weston, Massachusetts"
BLK,Blackrock,reports,Financials,"New York, New York"
HRB,Block H&R,reports,Consumer Discretionary,"Kansas City, Missouri"
BMC,BMC Software,reports,Information Technology,"Houston, Texas"
BA,Boeing Company,reports,Industrials,"Chicago, Illinois"
BWA,BorgWarner,reports,Consumer Discretionary,"Auburn Hills, Michigan"
BXP,Boston Properties,reports,Financials,"Boston, Massachusetts"
BSX,Boston Scientific,reports,Health Care,"Natick, Massachusetts"
BMY,Bristol-Myers Squibb,reports,Health Care,"New York, New York"
BRCM,Broadcom Corporation,reports,Information Technology,"Irvine, California"
BF.B,Brown-Forman Corporation,reports,Consumer Staples,"Louisville, Kentucky"
CHRW,C. H. Robinson Worldwide,reports,Industrials,"Eden Prairie, Minnesota"
CA,"CA, Inc.",reports,Information Technology,"Islandia, New York"
CVC,Cablevision Systems Corp.,reports,Consumer Discretionary,"Bethpage, New York"
COG,Cabot Oil & Gas,reports,Energy,"Houston, Texas"
CAM,Cameron International Corp.,reports,Energy,"Houston, Texas"
CPB,Campbell Soup,reports,Consumer Staples,"Camden, New Jersey"
COF,Capital One Financial,reports,Financials,"Tysons Corner, Virginia"
CAH,Cardinal Health Inc.,reports,Health Care,"Dublin, Ohio"
CFN,Carefusion,reports,Health Care,"San Diego, California[2]"
KMX,Carmax Inc,reports,Consumer Discretionary,"Richmond, Virginia"
CCL,Carnival Corp.,reports,Consumer Discretionary,"Miami, Florida"
CAT,Caterpillar Inc.,reports,Industrials,"Peoria, Illinois"
CBG,CBRE Group,reports,Financials,"Los Angeles, California"
CBS,CBS Corp.,reports,Consumer Discretionary,"New York, New York"
CELG,Celgene Corp.,reports,Health Care,"Summit, New Jersey"
CNP,CenterPoint Energy,reports,Utilities,"Houston, Texas"
CTL,CenturyTel Inc,reports,Telecommunications Services,"Monroe, Louisiana"
CERN,Cerner,reports,Health Care,"North Kansas City, Missouri"
CF,CF Industries Holdings Inc,reports,Materials,"Deerfield, Illinois"
